toxic,FormalCharge,TPSA,MolWt,HeavyAtoms,NHOH,HAcceptors,HDonors,Heteroatoms,AromaticRings,SaturatedRings,AromaticOH,AromaticN,LogP,kfold
0,1,46.53,332.464,24,1,3,1,4,1,2,1,0,2.8541,0
0,1,60.14,255.363,17,2,2,3,5,0,0,0,0,0.0079,0
0,-2,168.58,408.417,27,3,10,2,12,1,1,0,1,-2.7176,0
0,0,46.17,183.251,13,1,2,1,3,0,1,0,0,1.1278,0
0,0,772.17,1448.686,78,16,51,16,67,0,2,0,0,-19.3965,0
0,1,7.68,299.463,21,1,2,1,3,2,0,0,0,3.0699,0
0,0,67.77,157.213,11,3,2,1,3,0,1,0,0,-1.2154,0
0,-1,40.13,135.142,10,0,2,0,2,1,0,0,0,-0.021,0
0,1,118.48,473.561,35,3,9,1,10,4,1,0,6,0.43062,0
0,-2,147.02,470.43,32,2,8,2,10,0,3,2,0,0.7487,0
0,0,53.8,337.419,25,1,3,1,4,2,0,0,0,0.8377,0
0,3,27.69,510.828,36,0,3,0,6,1,0,0,0,5.4525,0
0,1,78.66,408.326,28,3,4,1,12,2,0,0,3,1.2997,0
0,1,90.05,557.777,39,2,5,2,8,3,0,0,0,5.6319,0
0,-1,49.36,325.428,24,0,3,0,3,1,0,0,0,3.83236,0
0,1,88.33,170.188,12,6,3,4,4,1,0,1,0,-0.6269,0
0,1,56.32,112.156,8,4,1,2,3,1,0,0,2,-0.8059,0
0,0,86.19,212.23,14,2,4,1,6,2,0,0,1,0.6163,0
0,0,189.53,342.297,23,8,11,8,11,0,2,8,0,-5.3956,0
0,0,83.83,382.541,27,2,5,2,5,0,1,2,0,3.9536,0
0,1,30.74,248.346,18,1,2,1,3,1,1,0,0,0.796,0
0,0,108.0,392.406,28,4,6,2,9,2,2,0,1,-0.2793,0
1,0,44.81,448.394,30,1,4,1,7,2,1,0,0,4.8593,0
0,2,335.46,1021.277,71,17,12,13,22,4,1,3,1,-2.239,0
0,0,57.34,597.96,19,1,2,1,7,1,0,0,0,0.4849,0
0,1,30.74,310.502,22,1,2,1,3,0,2,0,0,2.9851,0
0,1,17.33,320.254,19,1,1,1,3,2,0,0,1,2.5106,0
0,1,13.67,256.369,19,1,1,1,2,2,0,0,0,1.9371,0
0,0,118.36,389.886,24,4,5,3,10,1,1,0,0,1.2295,0
0,1,4.44,264.801,17,1,1,1,3,2,0,0,0,2.5427,0
0,0,40.46,516.857,35,2,4,2,4,2,0,0,0,9.9083,0
0,-1,77.34,269.346,18,1,3,1,6,1,0,0,0,2.56712,0
0,1,58.56,288.371,21,3,2,3,5,2,1,0,1,0.5058,0
0,-1,141.03,461.531,33,2,8,2,8,0,3,2,0,0.8626,0
0,2,82.3,148.254,10,8,2,4,4,0,0,0,0,-3.66,0
0,-2,98.72,318.325,23,0,6,0,6,1,0,0,0,0.76652,0
0,1,58.46,319.347,22,3,3,1,7,1,0,0,0,2.4847,0
0,-2,191.31,462.842,32,5,8,4,11,1,0,2,0,-4.1796,0
0,3,339.49,584.604,40,19,12,14,19,0,3,7,0,-12.4073,0
0,1,27.64,78.16,4,3,1,2,2,0,0,0,0,-0.8419,0
0,1,57.61,336.481,23,2,2,2,6,2,1,0,1,0.7805,0
0,0,100.9,496.575,36,2,6,2,7,1,3,2,0,3.7604,0
0,1,75.53,406.449,29,4,4,3,7,2,0,2,0,1.3374,0
0,1,7.68,285.436,20,1,2,1,3,2,0,0,0,2.8239,0
0,1,33.98,363.481,27,1,2,1,4,2,3,0,0,2.4478,0
0,1,64.53,326.457,23,3,4,2,5,1,0,1,0,1.3397,0
1,0,186.07,365.214,24,6,10,5,14,2,1,2,4,-1.7239,0
0,-1,49.36,411.521,31,0,3,0,3,3,4,0,0,5.3467,0
0,-1,80.59,391.572,28,2,4,2,4,0,4,2,0,3.1432,0
1,0,158.47,719.924,52,4,8,4,12,2,2,0,0,2.5835,0
0,0,620.32,1755.658,121,24,28,20,41,5,2,6,0,-2.9851,0
0,-1,143.75,480.538,33,2,8,2,11,2,0,2,2,1.067,0
0,2,136.27,780.963,57,4,9,4,12,3,2,1,1,1.9194,0
0,1,71.01,216.301,15,3,3,1,4,0,0,0,0,0.7011,0
0,0,130.05,253.262,18,5,7,4,8,2,0,2,4,-1.3073,0
0,-2,191.73,363.198,24,4,12,3,14,2,1,2,4,-2.9879,0
0,-1,40.13,299.434,22,0,2,0,2,0,0,0,0,4.2679,0
0,1,539.52,1450.279,101,22,24,18,35,5,2,6,0,-2.9715,0
0,1,12.05,382.531,29,0,2,0,3,4,0,0,2,5.30824,0
0,0,81.78,311.407,21,2,3,2,7,1,1,0,0,1.14092,0
0,-2,175.38,1285.906,44,2,10,2,18,2,0,0,0,3.465,0
0,-2,191.31,442.424,32,5,8,4,10,1,0,2,0,-4.6589,0
1,0,32.34,234.343,17,1,2,1,3,1,0,0,0,2.58374,0
0,0,339.09,1550.188,62,13,15,13,27,2,0,9,0,-1.5869,0
