Unnamed: 0,toxic,FormalCharge,NHOH,HAcceptors,AromaticRings,SaturatedRings,AromaticOH,AromaticN,kfold,MolWt_tran,LogP_tran,TPSA_tran
473,0,0,0,0,0,0,0,0,0,-1.397763630131721,0.1527658198705561,-3.083121638508983
1335,0,0,5,5,1,2,0,2,0,0.1460951853663074,-1.0316409356070897,0.9038227045934316
1071,0,0,1,7,0,3,1,0,0,0.7240827206128605,0.9564971403088866,0.440628673056505
891,0,0,8,8,2,0,2,0,0,0.5398147211485875,-1.4103876767415973,1.150816261066063
64,0,0,0,3,3,0,0,0,0,-0.7263321749511015,0.6985698502633845,-0.6001792584612314
722,0,1,6,0,0,0,0,0,0,-3.0977886985177223,-1.304789876738775,0.0412898783004414
1398,0,1,4,2,0,1,0,0,0,-2.164982987076778,-1.1583068974818105,-0.1484230540590718
418,0,-1,2,4,1,0,0,0,0,1.2145931175069176,-0.0700200065512988,0.3323221479318967
966,0,0,4,3,1,0,0,0,0,-1.0154082856813094,-0.9100962841053776,0.1933248483324391
1218,0,-2,4,12,0,1,3,0,0,0.5571411014943174,-2.568727838202719,1.290522727679899
432,0,-1,2,5,1,1,0,0,0,0.0652362619305641,-1.2110985868272806,0.5606896330970109
558,0,2,20,14,2,2,0,0,0,2.270284995292364,-1.8956775307076144,2.6303797336235712
815,0,1,3,5,2,0,0,2,0,-0.5215628960321365,-0.6134127153072975,-0.1861916359888728
1035,0,0,1,4,0,3,0,0,0,-0.05922903864692,-1.0412480523184633,0.0415969167589611
762,0,-4,1,13,1,0,0,0,0,0.8057625491354766,-2.5584131411557203,1.4819035439055386
44,0,1,1,2,2,3,0,0,0,0.1518538567080172,0.2975664925932663,-0.8388275701236835
451,0,-4,6,15,6,0,2,8,0,2.4861049242437265,3.1416241682901465,2.125580700947786
625,0,-1,4,12,2,1,0,4,0,0.8403979663045914,-1.549443747004413,1.3344931713344343
130,0,0,1,1,0,0,1,0,0,-0.6139160151149297,1.5387016945053744,-1.2945606902145497
1072,0,0,2,6,1,0,0,2,0,-0.6619769419011843,-0.937372781177476,0.4459711610078797
964,0,1,1,4,2,1,0,2,0,-0.1921063296474502,-0.2997090796512947,-0.8181009674684122
384,0,1,1,1,3,0,0,0,0,0.1990139073821316,1.160100243543657,-1.5951347297925893
434,0,0,3,2,1,0,0,0,0,-0.8487976895634746,-0.6107969629642336,-0.1176276425413093
669,0,-1,2,5,0,1,2,0,0,0.0984429831084791,0.1807088242204895,0.3236379435120952
915,0,0,0,0,0,0,0,0,0,-1.6685369283915592,-0.0992553707898255,-3.083121638508983
508,1,0,6,11,2,0,0,2,0,0.8135864500667401,-1.4815405534196553,1.515306314629066
1312,0,0,0,3,2,0,0,0,0,-0.539704514675919,0.456815411048442,-0.599711492447174
918,0,-1,2,4,1,0,0,0,0,-0.852491308146384,-0.272668566466666,0.2393715925278864
777,0,1,1,2,2,0,0,1,0,-0.2660107908492642,0.1226869509575502,-1.0639282167158297
516,0,0,1,3,0,2,1,0,0,-0.1428137816864267,0.8505654060279747,-0.2350921700812338
369,0,1,3,3,1,0,0,0,0,-0.4000549591990839,-0.2296586044901054,-0.3162936158739348
481,1,1,2,9,4,0,0,5,0,1.1337822418814123,1.1678474960385574,0.811315055806859
676,0,-1,0,2,0,0,0,0,0,-1.5795739056374425,-0.2471357640928504,-0.6776015571111978
1304,0,-1,0,7,1,2,0,0,0,1.0007956406624392,1.2482872778873983,0.5129631877769291
1142,0,1,3,2,2,0,0,0,0,-0.4239406299619858,-0.0791799117530442,-0.5643780698908115
213,0,1,3,0,0,4,0,0,0,-1.161125599869022,0.1196321965747761,-1.0285889672304127
737,0,0,1,2,1,1,0,0,0,-0.9322622580514648,-0.1265906405298479,-0.4650288911177934
1252,0,0,1,3,1,0,0,0,0,-0.3695280303027543,0.5955034551612641,-0.0436371125727329
736,0,0,0,4,1,1,0,2,0,-0.896162458111093,-0.1749103784894908,-0.5822811138279663
194,1,0,0,6,6,0,0,4,0,0.6464426263111448,1.729111071799836,0.023848146951321
947,0,0,0,3,1,0,0,0,0,-0.2750873639315313,1.1132200020521172,-0.7963422502669112
797,1,0,3,5,0,0,0,0,0,-1.1422171189710135,-0.9970370013253068,0.2945498819713857
1209,0,0,3,5,2,2,0,1,0,0.3059666951018057,-0.198769545766308,0.2621402228349295
1437,0,-5,3,17,2,0,0,2,0,1.2350144083732937,-2.026851088216053,1.9814681102470464
959,0,0,2,2,1,0,0,0,0,-1.4819337173490184,-0.1084584725459758,-0.4667330657140073
142,0,-1,0,6,2,1,0,1,0,0.1143308410271014,0.622279720757148,-0.0217858904489873
446,0,1,2,2,2,1,0,2,0,-0.8608577164974274,-0.3063894768341553,-0.6228167348866918
798,0,1,1,1,2,0,0,0,0,-0.1833193092042598,0.4253961391210221,-1.5951347297925893
1360,0,0,8,11,0,2,8,0,0,0.037030149558703,-1.8210545084401235,1.245287609792753
642,0,-1,4,8,1,2,1,0,0,0.666942184422973,-1.2535586647073722,1.0521104922001578
1234,0,-1,2,5,2,0,0,2,0,-0.5620357250486455,-0.0719895996552595,0.3542927103324388
414,0,1,2,7,3,1,0,4,0,0.67137290173082,-0.494962208987273,0.5313256457120756
754,0,0,0,8,0,0,0,0,0,1.3701325759798624,3.18267425152686,0.4912235340617062
1286,1,0,2,2,1,0,0,2,0,-1.752258381947738,-0.7768253386445099,-0.1527481644057831
1407,0,0,4,4,0,0,0,0,0,-0.8094392796228804,-0.2366261788905479,0.4120677757065598
1418,0,0,3,4,1,0,1,0,0,-0.5893200637779487,-0.1703015426223753,0.1038063740524973
507,0,2,0,0,4,0,0,0,0,0.7797727677169057,2.798636129800484,-3.083121638508983
1292,0,1,3,1,1,0,0,1,0,-2.3063967507607663,-0.5289215271311192,-0.6768599980523132
482,0,0,2,3,0,1,0,0,0,-0.7590713430148267,-0.2442977047490358,0.0046490319386563
272,1,0,4,7,1,1,2,2,0,-0.2157665686266378,-0.795045776409288,0.4842349318714742
76,0,0,2,6,3,0,0,2,0,0.1673286505298209,1.3349308122024877,0.3205166350537538
201,0,0,1,4,3,0,0,3,0,0.182651063473225,0.71912281413476,-0.1159342470867956
136,0,1,5,4,2,0,2,0,0,0.4142407988542445,0.5449511852043795,0.1725941246314646
1106,0,0,3,4,1,0,2,1,0,-1.2775323762876702,-0.5297337335859705,-0.0221051012581862
1040,0,1,2,1,1,0,0,0,0,-0.3612452260457833,0.2545582852492429,-0.8511396905892631
1137,0,-1,0,7,2,0,0,2,0,-0.4744398517883156,-0.6942350204385432,0.2684564112638633
577,0,0,2,4,3,0,0,1,0,-0.1249786304845392,0.498711985659848,0.1677628563129722
429,0,0,0,3,3,0,0,2,0,-0.1674982169063985,0.6117991304395002,-0.7413646793409467
843,0,-1,3,6,4,0,2,1,0,0.9831390988581582,1.3305520979398846,0.5313256457120756
1050,1,0,5,9,2,0,0,4,0,-0.0656281541630688,-0.7767988682969144,0.9119664932206653
159,0,1,2,2,0,0,0,0,0,-1.5299852842215371,-0.6158523665748996,-0.4043483372443522
1427,1,0,5,14,3,3,2,1,0,1.9912973501917623,0.4594462734605548,1.6537867576397576
323,0,1,4,8,3,1,1,3,0,0.7256963816094392,0.0896016131867133,0.4496046317886007
